Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_no_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:37 2026
NOTE: automatic random seed used: 983445339
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Driver_0] ID:115 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):f5 Data(Dec):245 | Type:MDP
[Checker] Predicted Drop: Packet ID 116 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:116 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):12 Data(Dec):18 | Type:MDP
[Monitor_2] ID:117 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):13 Data(Dec):19 | Type:SDP
[Monitor_0] ID:118 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):48 Data(Dec):72 | Type:BDP
[Monitor_1] ID:119 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):48 Data(Dec):72 | Type:BDP
[Monitor_2] ID:120 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):48 Data(Dec):72 | Type:BDP
[Monitor_3] ID:121 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):48 Data(Dec):72 | Type:BDP
[Checker] Predicted Drop: Packet ID 122 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:122 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):ab Data(Dec):171 | Type:ERR
[Monitor_0] ID:123 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):95 Data(Dec):149 | Type:MDP
[Monitor_2] ID:124 Name:monitored | Src:1000 Tgt:0101 | Data(Hex):95 Data(Dec):149 | Type:MDP
[Driver_3] ID:125 Name:pkt_3 | Src:1000 Tgt:0011 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Driver_0] ID:126 Name:pkt_0 | Src:0001 Tgt:0110 | Data(Hex):2c Data(Dec):44 | Type:MDP
[Checker] Predicted Drop: Packet ID 127 is INVALID (Src:0100 Tgt:0111). Ignoring.
[Driver_2] ID:127 Name:pkt_2 | Src:0100 Tgt:0111 | Data(Hex):58 Data(Dec):88 | Type:MDP
[Monitor_0] ID:128 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Monitor_1] ID:129 Name:monitored | Src:1000 Tgt:0011 | Data(Hex):84 Data(Dec):132 | Type:MDP
[Checker] Predicted Drop: Packet ID 130 is INVALID (Src:0010 Tgt:1011). Ignoring.
[Driver_1] ID:130 Name:pkt_1 | Src:0010 Tgt:1011 | Data(Hex):7d Data(Dec):125 | Type:MDP
[Driver_3] ID:131 Name:pkt_3 | Src:1000 Tgt:0111 | Data(Hex):4e Data(Dec):78 | Type:MDP
[Checker] Predicted Drop: Packet ID 132 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:132 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):64 Data(Dec):100 | Type:MDP
[Monitor_1] ID:133 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):2c Data(Dec):44 | Type:MDP
[Monitor_2] ID:134 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):2c Data(Dec):44 | Type:MDP
[Driver_1] ID:135 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):97 Data(Dec):151 | Type:MDP
[Checker] Predicted Drop: Packet ID 136 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:136 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):28 Data(Dec):40 | Type:MDP
