Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Driver_3] ID:124 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):0f Data(Dec):15 | Type:MDP
[Driver_2] ID:125 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):ee Data(Dec):238 | Type:MDP
[Driver_1] ID:126 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):d4 Data(Dec):212 | Type:SDP
[Driver_0] ID:127 Name:pkt_0 | Src:0001 Tgt:0010 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Monitor_1] ID:128 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):ee Data(Dec):238 | Type:MDP
[Monitor_3] ID:129 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):ee Data(Dec):238 | Type:MDP
[Monitor_2] ID:130 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):d4 Data(Dec):212 | Type:SDP
[Driver_1] ID:131 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):bd Data(Dec):189 | Type:MDP
[Monitor_1] ID:132 Name:monitored | Src:0001 Tgt:0010 | Data(Hex):a8 Data(Dec):168 | Type:SDP
[Checker] Predicted Drop: Packet ID 133 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:133 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):9f Data(Dec):159 | Type:MDP
[Driver_2] ID:134 Name:pkt_2 | Src:0100 Tgt:1001 | Data(Hex):d4 Data(Dec):212 | Type:MDP
[Driver_1] ID:135 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Monitor_0] ID:136 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):bd Data(Dec):189 | Type:MDP
[Monitor_2] ID:137 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):bd Data(Dec):189 | Type:MDP
[Driver_0] ID:138 Name:pkt_0 | Src:0001 Tgt:0110 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Monitor_0] ID:139 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):d4 Data(Dec):212 | Type:MDP
[Monitor_3] ID:140 Name:monitored | Src:0100 Tgt:1001 | Data(Hex):d4 Data(Dec):212 | Type:MDP
[Monitor_0] ID:141 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Monitor_2] ID:142 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Checker] Predicted Drop: Packet ID 143 is INVALID (Src:0100 Tgt:1101). Ignoring.
[Driver_2] ID:143 Name:pkt_2 | Src:0100 Tgt:1101 | Data(Hex):ca Data(Dec):202 | Type:MDP
[Driver_3] ID:144 Name:pkt_3 | Src:1000 Tgt:1111 | Data(Hex):88 Data(Dec):136 | Type:BDP
[Monitor_1] ID:145 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):31 Data(Dec):49 | Type:MDP
